qt_civilian_card,qt_military_cards,qt_commercial_cards,qt_raw_materials,qt_manufactured_good,qt_scientific_cards,qt_guild_cards,wonder_id,wonder_stage,qt_clay,qt_coins,qt_compass,qt_gear,qt_glass,qt_loom,qt_ore,qt_papyrus,qt_shields,qt_stone,qt_tablet,qt_wood,civilian_points,commercial_points,guild_points,military_points,scientific_points,total_points,wonder_points,winner,total_reward
0,1,1,4,1,1,0,0,3,3,20,0,0,0,1,2,0,3,1,0,1,0,6,0,7,1,29,15,False,72
2,0,0,1,2,1,0,9,1,0,39,0,0,0,1,0,1,0,0,0,2,9,13,0,-3,1,20,0,False,53
0,1,1,2,1,0,0,9,1,0,46,0,0,1,0,3,0,1,0,0,1,0,17,0,8,0,25,0,True,58
1,3,2,1,2,0,0,1,2,2,11,0,0,1,1,0,0,8,0,0,0,2,4,0,12,1,22,3,False,63
2,0,1,2,1,0,0,0,1,1,32,0,0,0,0,0,1,0,1,0,1,12,10,0,-3,0,22,3,False,57
0,0,1,0,1,1,1,6,1,0,26,0,0,0,1,0,1,0,0,0,0,0,9,3,0,1,16,3,False,41
5,1,1,2,1,0,0,5,2,0,11,0,0,1,0,0,1,1,2,0,0,27,3,0,2,0,35,3,True,89
1,0,0,0,0,0,0,2,2,0,34,0,0,0,0,0,0,0,0,0,1,5,11,0,-2,0,17,3,False,45
1,1,1,1,1,1,2,9,3,0,27,0,0,0,1,0,0,1,2,0,1,8,9,3,-2,4,27,5,False,68
0,0,2,2,2,0,0,11,1,0,50,0,0,0,1,2,2,0,1,0,0,0,17,0,-2,0,17,2,False,50
1,1,2,1,0,1,0,2,1,0,27,0,0,0,0,0,0,3,0,0,1,5,10,0,3,1,22,3,False,58
1,0,0,1,1,0,0,11,2,0,44,0,0,0,0,0,2,0,0,0,1,5,14,0,-6,0,18,5,False,49
2,0,1,2,0,0,0,9,1,2,44,0,0,0,0,0,0,0,0,0,2,10,14,0,-5,0,19,0,False,56
0,1,1,1,2,0,0,10,1,1,41,0,0,1,1,1,0,4,0,0,0,0,14,0,12,0,29,3,False,62
1,2,2,2,2,0,1,8,1,3,19,0,0,1,0,1,1,4,0,0,0,6,9,6,14,0,38,3,False,85
0,1,1,1,0,1,1,4,0,0,53,0,0,0,0,0,1,1,0,0,1,0,17,2,8,1,28,0,False,58
0,1,3,2,0,0,0,13,2,0,45,0,0,0,1,2,0,3,0,0,0,0,17,0,7,0,27,3,False,69
0,1,1,0,2,0,0,13,0,0,45,0,0,1,2,0,0,1,0,0,0,0,15,0,9,0,24,0,False,55
0,2,0,1,0,0,1,3,1,0,35,0,0,0,0,1,0,4,0,0,2,0,11,0,7,1,22,3,False,53
2,1,0,0,0,1,0,13,0,0,35,0,0,0,1,0,0,1,0,0,0,6,11,0,9,1,27,0,False,54
1,1,2,1,0,0,1,9,0,1,48,0,0,0,0,0,0,3,0,0,1,2,16,0,10,0,28,0,True,63
1,0,0,1,0,0,0,7,1,1,48,0,0,0,0,0,0,0,1,0,0,2,16,0,0,0,21,3,False,46
